,id_1,id_2,cost_1,cost_2,action_1,action_2,prediction_1,prediction_2,payoff_1,payoff_2,correct_prediction_1,correct_prediction_2
r_30_2,21,10,110,30,1,2,1,2,140,50,1,2
r_30_3,5,20,190,50,2,1,2,2,50,200,1,1
r_30_4,19,2,110,190,2,2,2,2,200,200,2,2
r_30_5,17,7,10,90,1,2,2,1,240,50,2,1
r_30_6,12,9,170,190,2,2,2,2,200,200,2,2
r_30_7,18,1,110,170,2,2,2,1,200,200,2,1
r_30_8,4,14,110,170,2,2,2,2,200,200,2,2
r_30_9,6,13,170,30,2,1,1,2,50,220,2,1
r_30_10,8,16,150,170,2,2,2,2,200,200,2,2
r_31_0,18,8,30,130,1,2,2,1,220,50,2,1
r_31_1,0,2,90,170,2,2,2,2,200,200,2,2
r_31_2,3,16,90,50,2,1,2,1,50,200,1,2
r_31_3,19,15,50,50,1,1,1,1,150,150,2,2
r_31_4,21,14,110,50,1,1,1,2,90,150,2,1
r_31_5,6,4,70,110,2,2,2,2,200,200,2,2
r_31_6,5,20,30,30,1,1,1,1,170,170,2,2
r_31_7,17,1,110,30,2,1,1,1,50,220,2,2
r_31_8,12,11,50,50,1,1,1,2,150,150,2,1
r_31_9,9,10,190,190,2,2,2,2,200,200,2,2
r_31_10,7,13,10,10,2,1,1,1,50,240,2,2
r_32_0,9,16,150,90,2,1,1,2,50,160,2,1
r_32_1,1,4,130,90,1,2,1,1,120,50,1,1
r_32_2,10,11,130,70,2,2,1,2,200,200,1,2
r_32_3,15,8,130,190,2,2,2,2,200,200,2,2
r_32_4,3,2,90,150,2,2,2,2,200,200,2,2
r_32_5,13,5,10,190,1,2,2,1,240,50,2,1
r_32_6,14,17,50,70,1,1,2,1,150,130,1,2
r_32_7,12,21,30,70,1,1,2,1,170,130,1,2
r_32_8,6,7,70,30,2,1,1,2,50,220,2,1
r_32_9,19,18,10,190,1,2,2,1,240,50,2,1
r_32_10,0,20,150,130,2,2,2,2,200,200,2,2
r_33_0,14,1,130,130,2,1,2,1,50,120,1,2
r_33_1,5,4,50,10,2,1,1,2,50,240,2,1
r_33_2,9,21,70,70,1,1,1,1,130,130,2,2
r_33_3,13,10,30,130,1,2,2,2,220,50,2,2
r_33_4,17,19,90,130,1,2,2,2,160,50,2,2
r_33_5,8,15,10,90,1,2,1,1,240,50,1,1
r_33_6,20,11,30,90,1,2,1,1,220,50,1,1
r_33_7,0,18,70,190,2,2,2,1,200,200,2,1
r_33_8,12,7,110,90,2,2,2,2,200,200,2,2
r_33_9,3,16,30,190,1,2,2,1,220,50,2,1
r_33_10,6,2,30,70,2,1,2,1,50,180,1,2
r_34_0,8,5,50,150,1,2,2,2,200,50,2,2
r_34_1,10,21,70,150,1,2,2,1,180,50,2,1
r_34_2,17,0,30,170,1,2,2,2,220,50,2,2
r_34_3,20,18,130,110,2,2,1,2,200,200,1,2
r_34_4,12,4,150,130,2,1,2,2,50,120,1,1
r_34_5,1,9,70,90,2,1,1,1,50,160,2,2
r_34_6,13,2,70,70,1,1,1,2,130,130,2,1
r_34_7,11,15,10,170,1,2,2,1,240,50,2,1
r_34_8,7,6,50,90,2,2,2,1,200,200,2,1
r_34_9,19,14,90,170,2,2,2,2,200,200,2,2
r_34_10,3,16,50,110,2,1,2,1,50,140,1,2
r_35_0,13,7,50,50,1,2,1,2,200,50,1,2
r_35_1,3,16,170,10,2,1,1,2,50,240,2,1
r_35_2,17,19,10,130,1,2,2,1,240,50,2,1
r_35_3,14,9,50,110,1,2,2,1,200,50,2,1
r_35_4,4,15,50,10,2,1,1,1,50,240,2,2
r_35_5,12,0,10,150,1,2,2,1,240,50,2,1
r_35_6,8,21,170,50,2,1,1,2,50,200,2,1
r_35_7,11,18,190,110,2,2,2,2,200,200,2,2
r_35_8,5,2,50,30,2,1,1,1,50,220,2,2
r_35_9,20,10,150,190,2,2,2,2,200,200,2,2
r_35_10,1,6,170,70,2,2,2,2,200,200,2,2
r_36_0,18,21,10,70,1,1,1,1,190,130,2,2
r_36_1,15,5,170,110,2,2,2,2,200,200,2,2
r_36_2,9,7,110,170,2,2,2,2,200,200,2,2
r_36_3,19,1,170,110,2,1,2,2,50,140,1,1
r_36_4,12,8,10,10,1,1,1,1,190,190,2,2
r_36_5,2,3,190,130,2,2,2,2,200,200,2,2
r_36_6,17,11,150,70,2,2,1,2,200,200,1,2
r_36_7,16,6,150,130,2,2,1,2,200,200,1,2
r_36_8,13,4,30,70,1,2,1,2,220,50,1,2
r_36_9,20,14,110,90,1,2,1,2,140,50,1,2
r_36_10,10,0,190,110,2,2,2,2,200,200,2,2
r_37_0,9,3,30,150,1,2,2,1,220,50,2,1
r_37_1,10,18,30,30,2,1,2,1,50,220,1,2
r_37_2,12,6,90,170,2,2,2,2,200,200,2,2
r_37_3,14,11,70,110,2,2,2,2,200,200,2,2
r_37_4,21,8,110,50,1,1,1,2,90,150,2,1
r_37_5,5,20,170,90,2,1,2,2,50,160,1,1
r_37_6,13,2,90,170,1,2,2,2,160,50,2,2
r_37_7,17,19,190,30,2,1,1,2,50,220,2,1
r_37_8,15,16,190,170,2,2,2,2,200,200,2,2
r_37_9,1,0,50,130,1,2,1,2,200,50,1,2
r_37_10,7,4,30,110,1,2,2,2,220,50,2,2
r_38_0,6,18,190,10,2,1,1,2,50,240,2,1
r_38_1,7,19,30,130,1,2,2,1,220,50,2,1
r_38_2,8,9,170,150,2,2,2,2,200,200,2,2
r_38_3,10,12,190,150,2,2,2,2,200,200,2,2
r_38_4,14,13,70,190,2,2,2,1,200,200,2,1
r_38_5,15,0,130,30,2,2,1,2,200,200,1,2
r_38_6,1,2,70,30,2,1,2,2,50,220,1,1
r_38_7,20,11,30,30,1,1,1,1,170,170,2,2
r_38_8,16,17,50,30,1,1,1,1,150,170,2,2
r_38_9,3,5,70,30,2,1,1,2,50,220,2,1
r_38_10,4,21,70,110,2,1,2,1,50,140,1,2
r_39_0,17,4,90,10,1,1,1,2,110,190,2,1
r_39_1,1,13,90,50,1,1,2,2,110,150,1,1
r_39_2,0,2,110,90,2,2,2,2,200,200,2,2
r_39_3,9,7,30,90,1,2,1,2,220,50,1,2
r_39_4,11,20,30,170,1,2,2,1,220,50,2,1
r_39_5,16,8,110,110,1,2,1,2,140,50,1,2
r_39_6,10,21,110,30,2,1,2,2,50,220,1,1
r_39_7,18,5,10,10,1,1,1,1,190,190,2,2
r_39_8,3,19,190,190,2,2,2,2,200,200,2,2
r_39_9,14,6,130,70,2,2,2,2,200,200,2,2
r_39_10,12,15,150,30,2,1,1,2,50,220,2,1
r_40_0,11,3,10,50,1,2,2,1,240,50,2,1
r_40_1,16,9,110,30,1,1,1,2,90,170,2,1
r_40_2,13,14,190,70,2,2,1,2,200,200,1,2
r_40_3,6,2,110,170,2,2,2,2,200,200,2,2
r_40_4,18,7,110,190,2,2,2,2,200,200,2,2
r_40_5,17,5,90,70,1,2,1,2,160,50,1,2
r_40_6,20,0,30,70,1,2,1,2,220,50,1,2
r_40_7,21,8,50,30,1,1,1,1,150,170,2,2
r_40_8,10,1,70,10,1,1,1,2,130,190,2,1
r_40_9,12,15,90,50,2,1,1,2,50,200,2,1
r_40_10,19,4,30,150,1,2,2,2,220,50,2,2
r_41_0,6,13,190,130,2,2,2,2,200,200,2,2
r_41_1,21,2,170,150,2,2,2,2,200,200,2,2
r_41_2,1,7,170,170,2,2,2,2,200,200,2,2
r_41_3,19,16,170,70,2,1,1,2,50,180,2,1
