,id_1,id_2,cost_1,cost_2,message_1,message_2,action_1,action_2,prediction_1,prediction_2,payoff_1,payoff_2,correct_prediction_1,correct_prediction_2
r_30_4,5,9,150,130,2,2,2,2,1,2,200,200,1,2
r_30_5,13,18,110,190,2,2,2,2,2,2,200,200,2,2
r_30_6,4,19,90,110,2,2,2,2,2,1,200,200,2,1
r_30_7,21,20,110,150,2,2,2,2,2,2,200,200,2,2
r_30_8,8,15,30,30,1,1,1,1,1,1,170,170,2,2
r_30_9,2,3,30,130,1,2,1,1,1,1,170,70,2,2
r_30_10,10,17,190,170,2,2,2,2,2,2,200,200,2,2
r_31_0,14,18,10,150,2,2,2,2,2,1,200,200,2,1
r_31_1,11,4,50,10,1,1,1,1,2,1,150,190,1,2
r_31_2,20,13,10,70,2,2,1,2,2,1,240,50,2,2
r_31_3,19,1,50,30,1,1,1,1,1,1,150,170,2,2
r_31_4,5,17,70,30,2,2,2,1,1,1,50,220,2,1
r_31_5,21,6,90,110,2,2,2,2,2,1,200,200,2,1
r_31_6,12,10,10,150,2,2,1,2,2,1,240,50,2,2
r_31_7,3,8,170,130,2,2,2,2,1,2,200,200,1,2
r_31_8,7,0,70,170,2,2,1,2,2,2,180,50,2,1
r_31_9,9,16,90,30,2,1,1,1,1,2,110,170,2,1
r_31_10,2,15,170,70,2,2,2,2,1,2,200,200,1,2
r_32_0,1,2,10,170,2,2,1,2,2,1,240,50,2,2
r_32_1,18,8,150,150,2,2,2,2,2,2,200,200,2,2
r_32_2,16,17,70,90,2,2,1,1,2,1,130,110,1,2
r_32_3,9,19,130,130,2,2,2,2,1,1,200,200,1,1
r_32_4,12,5,50,50,2,1,1,2,2,1,200,50,2,2
r_32_5,3,20,110,50,2,2,2,1,1,2,50,200,2,2
r_32_6,13,21,90,170,1,2,2,2,2,2,200,200,2,2
r_32_7,4,15,70,190,2,2,1,2,2,1,180,50,2,2
r_32_8,10,6,10,130,2,2,1,2,1,1,240,50,1,2
r_32_9,14,0,130,110,2,2,2,2,2,2,200,200,2,2
r_32_10,11,7,110,190,1,2,2,2,2,1,200,200,2,1
r_33_0,6,19,130,50,2,1,1,2,2,2,120,50,2,1
r_33_1,0,20,30,170,2,2,1,2,2,1,220,50,2,2
r_33_2,12,9,50,110,2,2,2,2,2,1,200,200,2,1
